NAR_MEI_Geral_Regional[ESTADOS],[RENDA],[RENDA COM CNPJ],[RENDA SEM CNPJ]
ACRE,1398.81,2402.3,1278.67
ALAGOAS,1232.68,2403.47,984.87
AMAPA,1284.86,2198.22,1185.41
AMAZONAS,1138.78,2700.89,1044.5
BAHIA,1201.42,2634.1,933.7
CEARA,1191.52,2294,1011.18
DISTRITO FEDERAL,2211.09,3193.51,1911.82
ESPIRITO SANTO,1936.86,2813.98,1582.76
GOIAS,2206.12,3275.37,1826.41
MARANHAO,1103.14,2440.15,1013.29
MATO GROSSO,2404.67,3572.06,2057.86
MATO GROSSO DO SUL,2162.38,3295.2,1758.37
MINAS GERAIS,1862.71,2677.24,1559.69
PARA,1078.13,1957.05,1010.51
PARAIBA,1350.78,4577.14,820.63
PARANA,2444.42,3416.55,1932.36
PERNAMBUCO,1176.43,2549.82,989.55
PIAUI,933.58,2165.29,754.05
RIO DE JANEIRO,2124.47,3324.45,1726.73
RIO GRANDE DO NORTE,1358.32,2615.38,1046.24
RIO GRANDE DO SUL,2425.13,3148.8,1966.7
RONDONIA,1856.17,2867.8,1670.55
RORAIMA,1677.82,4652.8,1231.23
SANTA CATARINA,2730.29,3546.89,2253.37
SAO PAULO,2555.06,3817.88,1870.74
SERGIPE,1173.13,2974.87,907.73
TOCANTINS,1610.33,2294.76,1452
BRASIL,1926.4,3267.76,1486.39
