NAR_MPE_Sondagem_MPE_Confiança[ANO],NAR_MPE_Sondagem_MPE_Confiança[ANO MÊS],[MAXIMODEICGERAL],[MAXIMODEMPE],[MAXIMODEINDUSTRIA],[MAXIMODECOMERCIO],[MAXIMODESERVICOS]
2012,2012/01,103.5,103.5,102.5,103.6,104.9
2012,2012/02,103.6,103.1,103.8,105.9,106.3
2012,2012/03,104.4,104.7,105.2,110.3,105.5
2012,2012/04,103.7,104.1,102.1,108.2,104.9
2012,2012/05,103.1,102.5,99.5,105.2,103.9
2012,2012/06,102.9,102.7,100.6,106.2,104.9
2012,2012/07,102.9,103.4,102.8,102.2,104.1
2012,2012/08,103.5,102.4,98.4,102.6,102.8
2012,2012/09,105,104.3,101.8,109,104.2
2012,2012/10,104.6,103.7,101.8,103,103.9
2012,2012/11,104.6,103.1,97.1,104.8,105.6
2012,2012/12,103.7,102.6,102.9,102.6,103
2013,2013/01,103.3,102.7,103.4,100.7,102.9
2013,2013/02,103.5,103.4,106.2,101.4,101.9
2013,2013/03,103.4,102.3,105.3,102.2,102.2
2013,2013/04,102.5,101.9,99.8,104.3,101.5
2013,2013/05,103.8,103.5,104.9,102.5,103.5
2013,2013/06,103.2,102.7,105.2,101.2,101.7
2013,2013/07,100.4,101.7,102.5,100.1,100
2013,2013/08,101.9,101.9,99.1,103,100.9
2013,2013/09,102,102.6,102.1,102.4,101.6
2013,2013/10,100.3,101.2,98.9,102.8,101.9
2013,2013/11,99.6,101.1,100.2,103.3,99.6
2013,2013/12,99.2,100.2,101,100.3,100.8
2014,2014/01,97.7,98.6,97.1,99.5,99.1
2014,2014/02,98,98.7,101.2,99.9,98.4
2014,2014/03,97.8,98.8,99.8,101,96.2
2014,2014/04,96.3,97.4,102.2,97.6,94.1
2014,2014/05,91.9,94.4,97.2,93.1,90.8
2014,2014/06,91.1,93.1,93.6,92.4,91.2
2014,2014/07,91.4,92.6,90,95,91.6
2014,2014/08,89.7,92.1,93.3,92,91.1
2014,2014/09,88.3,88.8,84.1,91.6,89.7
2014,2014/10,88,90.1,93.8,93,88.7
2014,2014/11,86.8,86,90.6,86.4,86.1
2014,2014/12,85.9,84.5,86.2,87.6,86.9
2015,2015/01,84.5,82.1,82.8,84.5,84.6
2015,2015/02,82.3,79.6,81.3,76.8,78.7
2015,2015/03,75.5,75.9,77.4,70.7,76.4
2015,2015/04,75.5,76.3,80.1,74.5,76.4
2015,2015/05,75.2,73.5,73.8,74.8,74.9
2015,2015/06,73,72,71.7,72.7,73.2
2015,2015/07,71.6,70.6,70.4,72.1,71.9
2015,2015/08,70.3,68.5,67.8,69.6,69.7
2015,2015/09,68.9,68.1,65.6,68.1,67.3
2015,2015/10,69.7,66.8,66.9,64.8,67.4
2015,2015/11,70,67.5,66.4,69.1,67.7
2015,2015/12,70,67.6,65.6,68.3,69.3
2016,2016/01,71.5,68.3,68.5,69.6,68.7
2016,2016/02,70.8,69.2,74.2,69.2,69.5
2016,2016/03,71,70.5,75.3,70.2,68.1
2016,2016/04,71.5,70.4,75,66.5,69.7
2016,2016/05,73.4,72.8,77.1,71.5,72.5
2016,2016/06,76.3,73.1,73.4,75.2,73.4
2016,2016/07,79.3,75.8,81.9,76.7,77.8
2016,2016/08,81.1,77.9,81.5,82,79.6
2016,2016/09,82.5,78.8,82,79.4,80.5
2016,2016/10,81.7,79.1,81,79.7,80.8
2016,2016/11,80.9,80.1,81.5,76.8,81
2016,2016/12,79.3,79.5,82.1,76.1,77.5
2017,2017/01,81.9,81,82.1,78.5,81.2
2017,2017/02,83.3,81.7,82,80.3,80.2
2017,2017/03,85.3,83.6,86,83.9,82.4
2017,2017/04,87,83.2,85.9,84.9,81.9
2017,2017/05,87.6,84.4,87.4,85.8,82.6
2017,2017/06,86.4,85.5,88.8,85.6,83.7
2017,2017/07,87.1,85.2,89.1,84.2,82.9
2017,2017/08,87.8,86,89.1,82.7,84.7
2017,2017/09,90.2,87,89.4,88.2,85.1
2017,2017/10,92.3,88.3,90.2,89,87.1
2017,2017/11,92.3,87.5,90.7,86.3,87
2017,2017/12,93.2,87.9,90.7,88.7,87.2
2018,2018/01,93.3,89.5,95.6,90.9,88
2018,2018/02,94.6,88.9,89.4,89.3,88.4
2018,2018/03,95.7,89.5,92.7,92.8,88.9
2018,2018/04,94.7,91.1,97.5,92.1,88.3
2018,2018/05,94.4,90.9,94.6,90.2,89
2018,2018/06,92.6,89,89.1,88.5,85.8
2018,2018/07,93.2,90.2,88,88.3,87.9
2018,2018/08,93.8,90.9,89.7,88.6,87.3
2018,2018/09,92.8,91.1,93.6,87,87.7
2018,2018/10,92.9,91.5,90,90.2,91
2018,2018/11,95.4,93.6,94.2,97.4,93.8
2018,2018/12,95.7,94.3,96.4,102.7,94.8
2019,2019/01,97.3,94.8,103.4,99,95.1
2019,2019/02,97,94.7,99.4,98,95.2
2019,2019/03,95.3,94.9,96,94.4,93.7
2019,2019/04,95.3,94,89.7,93.7,94.3
2019,2019/05,93.2,93.4,88.1,93.2,92.8
2019,2019/06,94,93.7,91,92.5,94.3
2019,2019/07,94.6,94.6,91.6,93.4,95.1
2019,2019/08,95.3,94.7,93.4,95,94.7
2019,2019/09,95.9,95.2,95.5,93.2,95.9
2019,2019/10,95.6,94.5,94,94.6,94.5
2019,2019/11,95.9,94,95.5,94.1,95.7
2019,2019/12,96.2,92.8,94.6,94.2,95.4
2020,2020/01,97.5,93.4,97.6,96.3,96
2020,2020/02,97.7,92.8,99,96.3,95.3
2020,2020/03,88.7,90.3,94.8,86,85.1
2020,2020/04,55.4,49.8,41.5,57.3,52.1
2020,2020/05,62.2,55.3,48.4,59.8,59.1
2020,2020/06,75.9,72.6,75.5,79.1,69.8
2020,2020/07,83.6,83.5,96,82.5,75.2
2020,2020/08,92.5,92.2,102.9,90.9,83.1
2020,2020/09,97.1,97.8,107.6,98,86.4
2020,2020/10,97.9,99,113.6,91.6,87.3
2020,2020/11,96.7,97.9,116.4,91.8,83.7
2020,2020/12,96.6,95.2,112,91.4,82.9
2021,2021/01,95,91.3,105.2,88.5,83
2021,2021/02,93.4,91.1,105.1,89.9,80.6
2021,2021/03,85.7,80.5,96.7,68.3,74.9
2021,2021/04,89.9,86.2,95.8,79.9,79.8
2021,2021/05,95.2,91.9,97.7,90.5,87.3
2021,2021/06,98.7,94.7,103.9,91.8,92.9
2021,2021/07,102,99.3,106.7,97,96.8
2021,2021/08,102.9,99.6,103.5,96.6,97.1
2021,2021/09,100.2,98.6,102,92.9,97.2
2021,2021/10,100.8,98.9,98.4,92.9,99.7
2021,2021/11,96.5,94.3,95.5,87.3,96.1
2021,2021/12,94,94.7,104,84,94.6
2022,2022/01,91.5,89.6,97,81.5,90.8
2022,2022/02,91,90,94.4,85.4,89.4
2022,2022/03,91.8,91.6,95.4,87.1,90.9
2022,2022/04,94.2,96.3,99.7,85.9,97.8
2022,2022/05,97.5,98.1,100,91.4,100.3
2022,2022/06,98.8,99.8,104.4,99.9,100.4
2022,2022/07,98.6,97.9,102.4,93.8,100.1
2022,2022/08,100.8,100.6,101,99.2,100.6
2022,2022/09,101.4,100.4,96.2,100.8,101.5
2022,2022/10,98,99.6,97,98.1,99.4
2022,2022/11,91.3,87.5,85.6,86.7,88.3
