NAR_MPE_Empregos_Setor[ANO],NAR_MPE_Empregos_Setor[SETOR],[EMPREGOS POR ANO E SETOR]
2002,COMÉRCIO,3777126
2003,COMÉRCIO,3990502
2004,COMÉRCIO,4301627
2005,COMÉRCIO,4578346
2006,COMÉRCIO,4780197
2007,COMÉRCIO,5072329
2008,COMÉRCIO,5399153
2009,COMÉRCIO,5640612
2010,COMÉRCIO,6070314
2011,COMÉRCIO,6378606
2012,COMÉRCIO,6628452
2013,COMÉRCIO,6829415
2014,COMÉRCIO,6976789
2015,COMÉRCIO,6902441
2016,COMÉRCIO,6718906
2017,COMÉRCIO,6680529
2018,COMÉRCIO,6620592
2019,COMÉRCIO,6554770
2020,COMÉRCIO,6355119
2021,COMÉRCIO,6671134
2002,INDÚSTRIA,3132573
2003,INDÚSTRIA,3187012
2004,INDÚSTRIA,3358920
2005,INDÚSTRIA,3470930
2006,INDÚSTRIA,3666537
2007,INDÚSTRIA,3816500
2008,INDÚSTRIA,4016720
2009,INDÚSTRIA,4141101
2010,INDÚSTRIA,4373441
2011,INDÚSTRIA,4602393
2012,INDÚSTRIA,4667990
2013,INDÚSTRIA,4758095
2014,INDÚSTRIA,4813872
2015,INDÚSTRIA,4648056
2016,INDÚSTRIA,4401031
2017,INDÚSTRIA,4294170
2018,INDÚSTRIA,4263614
2019,INDÚSTRIA,4241514
2020,INDÚSTRIA,4192677
2021,INDÚSTRIA,4433139
2002,SERVIÇOS,3991261
2003,SERVIÇOS,4105976
2004,SERVIÇOS,4285964
2005,SERVIÇOS,4502907
2006,SERVIÇOS,4687933
2007,SERVIÇOS,4893118
2008,SERVIÇOS,5182881
2009,SERVIÇOS,5481549
2010,SERVIÇOS,5899660
2011,SERVIÇOS,6312946
2012,SERVIÇOS,6637191
2013,SERVIÇOS,6938518
2014,SERVIÇOS,7198098
2015,SERVIÇOS,7318061
2016,SERVIÇOS,7265403
2017,SERVIÇOS,7317847
2018,SERVIÇOS,7439476
2019,SERVIÇOS,7538221
2020,SERVIÇOS,7210901
2021,SERVIÇOS,7569757
