NAR_MPE_Empregos_Setor[ANO],NAR_MPE_Empregos_Setor[SETOR],[PERCENTDOVALORADICIONADOAOPAIS]
2002,COMÉRCIO,0.131680988
2003,COMÉRCIO,0.135065556
2004,COMÉRCIO,0.136961445
2005,COMÉRCIO,0.137741772
2006,COMÉRCIO,0.13597392
2007,COMÉRCIO,0.134875715
2008,COMÉRCIO,0.136889925
2009,COMÉRCIO,0.136882987
2010,COMÉRCIO,0.137747688
2011,COMÉRCIO,0.137735243
2012,COMÉRCIO,0.13966776
2013,COMÉRCIO,0.139522648
2014,COMÉRCIO,0.14074191
2015,COMÉRCIO,0.143618916
2016,COMÉRCIO,0.145872278
2017,COMÉRCIO,0.144345279
2018,COMÉRCIO,0.14197799
2019,COMÉRCIO,0.140309551
2020,COMÉRCIO,0.137449062
2021,COMÉRCIO,0.13690311
2002,INDÚSTRIA,0.1092101
2003,INDÚSTRIA,0.107870025
2004,INDÚSTRIA,0.106946171
2005,INDÚSTRIA,0.104424622
2006,INDÚSTRIA,0.104295578
2007,INDÚSTRIA,0.101482606
2008,INDÚSTRIA,0.10183977
2009,INDÚSTRIA,0.100493754
2010,INDÚSTRIA,0.099242211
2011,INDÚSTRIA,0.099380918
2012,INDÚSTRIA,0.098358969
2013,INDÚSTRIA,0.097206278
2014,INDÚSTRIA,0.09710965
2015,INDÚSTRIA,0.096711984
2016,INDÚSTRIA,0.095549546
2017,INDÚSTRIA,0.092783545
2018,INDÚSTRIA,0.091432813
2019,INDÚSTRIA,0.090792648
2020,INDÚSTRIA,0.09067958
2021,INDÚSTRIA,0.090975615
2002,SERVIÇOS,0.139146322
2003,SERVIÇOS,0.138973977
2004,SERVIÇOS,0.136462744
2005,SERVIÇOS,0.135472153
2006,SERVIÇOS,0.133349447
2007,SERVIÇOS,0.130110406
2008,SERVIÇOS,0.131406572
2009,SERVIÇOS,0.133022942
2010,SERVIÇOS,0.133875204
2011,SERVIÇOS,0.136317426
2012,SERVIÇOS,0.139851899
2013,SERVIÇOS,0.141751586
2014,SERVIÇOS,0.145206349
2015,SERVIÇOS,0.152266711
2016,SERVIÇOS,0.15773712
2017,SERVIÇOS,0.158115722
2018,SERVIÇOS,0.159538883
2019,SERVIÇOS,0.161361024
2020,SERVIÇOS,0.155957988
2021,SERVIÇOS,0.155344395
